Goldfish Swim School,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by Mile Ring,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children 9 Years and Under (with Household Incomes Greater than $100K and All Children),,,,,,,,,,,,,,,,,,,,,,,,,,,
Existing/Planned Locations,,,,,,,,,,,,,,,,,,,,,,,,,,,
Existing/Planned U.S. Locations,DMA,<1 Mile Kids > $100K,<1 Mile All Kids,<2 Miles Kids > $100K,<2 Miles All Kids,<3 Miles Kids > $100K,<3 Miles All Kids,<4 Miles Kids > $100K,<4 Miles All Kids,<5 Miles Kids > $100K,<5 Miles All Kids,<6 Miles Kids > $100K,<6 Miles All Kids,<7 Miles Kids > $100K,<7 Miles All Kids,<8 Miles Kids > $100K,<8 Miles All Kids,<9 Miles Kids > $100K,<9 Miles All Kids,<10 Miles Kids > $100K,<10 Miles All Kids,15 Minutes Kids > $100K,15 Minutes All Kids,20 Minutes Kids > $100K,20 Minutes All Kids,25 Minutes Kids > $100K,25 Minutes All Kids
"Wexford, PA",Pittsburgh PA,229,384,"1,079","1,846","1,979","3,483","2,923","5,634","4,199","8,526","5,810","12,830","7,883","18,111","9,440","22,999","11,116","29,331","12,418","36,377","4,830","10,798","9,348","22,911","12,479","38,353"
"Wicker Park, IL",Chicago IL,"3,097","8,362","12,143","30,871","30,256","81,289","44,594","132,217","55,002","180,473","66,940","238,190","77,859","289,348","86,897","336,817","94,884","378,042","101,574","412,244","58,886","201,461","90,132","339,504","120,240","479,662"
"Winter Park, FL",Orlando-Daytona Beach-Melbourne FL,430,"1,657","1,381","5,274","2,561","10,813","4,635","19,174","6,737","29,634","9,490","43,982","12,419","58,623","15,271","76,068","18,801","94,254","22,369","114,784","7,240","35,482","15,523","77,965","25,621","132,705"
Wyckoff NJ,New York NY,400,623,"1,523","2,500","3,904","6,413","7,208","11,847","10,505","17,365","15,316","27,821","23,023","48,103","30,377","67,803","37,816","86,872","46,363","110,050","15,334","30,178","32,265","76,624","62,569","159,195"
Seattle-Tacoma WA,,,,,,,,,,,,,,,,,,,,,,,,,,,
Existing/Planned U.S. Locations,DMA,<1 Mile Kids > $100K,<1 Mile All Kids,<2 Miles Kids > $100K,<2 Miles All Kids,<3 Miles Kids > $100K,<3 Miles All Kids,<4 Miles Kids > $100K,<4 Miles All Kids,<5 Miles Kids > $100K,<5 Miles All Kids,<6 Miles Kids > $100K,<6 Miles All Kids,<7 Miles Kids > $100K,<7 Miles All Kids,<8 Miles Kids > $100K,<8 Miles All Kids,<9 Miles Kids > $100K,<9 Miles All Kids,<10 Miles Kids > $100K,<10 Miles All Kids,15 Minutes Kids > $100K,15 Minutes All Kids,20 Minutes Kids > $100K,20 Minutes All Kids,25 Minutes Kids > $100K,25 Minutes All Kids
,Seattle-Tacoma WA,,,,,,,,,,,,,,,,,,,,,,,,,,
Supportable U.S. Locations,DMA,<1 Mile Kids > $100K,<1 Mile All Kids,<2 Miles Kids > $100K,<2 Miles All Kids,<3 Miles Kids > $100K,<3 Miles All Kids,<4 Miles Kids > $100K,<4 Miles All Kids,<5 Miles Kids > $100K,<5 Miles All Kids,<6 Miles Kids > $100K,<6 Miles All Kids,<7 Miles Kids > $100K,<7 Miles All Kids,<8 Miles Kids > $100K,<8 Miles All Kids,<9 Miles Kids > $100K,<9 Miles All Kids,<10 Miles Kids > $100K,<10 Miles All Kids,15 Minutes Kids > $100K,15 Minutes All Kids,20 Minutes Kids > $100K,20 Minutes All Kids,25 Minutes Kids > $100K,25 Minutes All Kids
"Bellevue, WA (148th Avenue/Bel Red Road)",Seattle-Tacoma WA,"1,083","2,995","3,694","8,465","6,942","14,696","11,542","23,303","16,462","31,611","21,456","39,775","27,599","51,018","37,070","70,407","47,111","99,537","57,494","126,668","21,922","42,802","47,841","105,293","79,372","189,710"
"Issaquah, WA (Interstate 90/17th Avenue)",Seattle-Tacoma WA,294,515,"1,415","3,010","3,899","7,288","6,543","11,529","9,392","16,424","14,338","26,422","18,881","36,774","23,857","47,061","28,796","58,376","34,888","72,556","12,259","23,505","29,646","63,209","53,240","126,043"
"Kirkland, WA (Interstate 405/124th Street)",Seattle-Tacoma WA,876,"2,057","3,211","7,348","6,810","14,002","10,782","22,017","15,231","30,614","21,533","43,892","30,078","63,846","37,831","83,135","48,621","109,750","59,642","138,761","24,406","50,260","49,518","118,879","80,184","198,858"
Mill Creek,Seattle-Tacoma WA,626,"1,805","3,241","9,070","6,862","20,906","10,901","32,897","14,105","42,510","17,013","50,603","19,939","58,765","22,462","66,535","25,402","74,650","29,327","85,310","15,309","48,900","27,210","82,230","44,809","125,543"
"Puyallup, WA (Meridian/39th Avenue SW)",Seattle-Tacoma WA,245,"1,189","1,415","4,976","2,892","9,747","4,101","14,636","5,913","20,603","8,206","29,209","10,714","41,123","13,691","54,879","15,583","63,920","17,377","73,854","8,110","33,489","15,816","70,410","24,996","112,498"
"Renton, WA (Logan Avenue/8th Street)",Seattle-Tacoma WA,386,"1,607","1,979","7,504","4,525","14,713","7,558","23,495","11,243","34,321","15,297","45,704","20,119","60,253","25,885","78,022","32,988","97,487","40,901","118,375","16,159","50,263","37,621","109,975","67,583","185,669"
Shoreline/MLT,Seattle-Tacoma WA,496,"2,015","1,996","6,675","4,028","12,908","6,398","20,410","9,185","29,342","13,839","41,850","20,893","58,744","29,591","79,698","36,536","98,262","43,516","113,742","17,590","53,556","40,883","115,378","60,519","161,562"
"Seattle, WA (4th Avenue/Pine Street)",Seattle-Tacoma WA,"2,277","6,992","6,517","18,576","10,603","27,761","15,078","39,678","22,255","57,206","29,650","74,823","35,848","90,132","40,576","102,432","46,554","118,017","54,239","137,525","28,583","75,422","51,116","137,165","72,521","194,750"
West Seattle,Seattle-Tacoma WA,"1,386","3,622","3,509","9,050","4,830","12,849","6,052","17,375","10,078","31,344","16,657","50,548","21,389","61,904","26,752","75,471","32,435","90,680","40,518","108,900","9,698","29,366","24,054","71,594","44,501","122,579"
Green Lake,Seattle-Tacoma WA,"2,011","4,425","7,307","18,414","13,979","34,412","20,490","50,775","25,588","64,558","29,758","74,989","34,600","86,468","41,340","102,438","48,173","119,564","56,621","140,762","30,728","81,644","53,502","142,357","80,682","216,143"
